K,K-Orange-List-2,K-Yellow-List-3,K-Green-List-4,K-Light_Blue-List-5,K-Blue-List-6,K-Purple-List-7,K-Violet-List-8,K-Pink-List-9,K-White-List-10
Red,Orange,Yellow,Green,Light_Blue,Blue,Purple,Violet,Pink,White
1,2,3,4,5,6,7,8,9,10
will,on,no,cat,net,mat,have,all,that,be
see,of,has,pat,pet,rat,here,her,go,me
the ,for,who,ran,ten,vat,can,his,very,don't
up,to,my,sat,vet,big,ran,our,come,so
like,is,in,van,yet,bit,pig,am,out,your
does,said,a,here,are,box,tan,then,by,named
she,and,did,and,but,fox,zig,little,they,have
he,you,said,go,fat,hit,play,are,here,want
me,am,where,bit,hat,not,box,was,down,ask
hello,my,them,can,jug,ox,get,went,get,put
we,mom,not,fit,lug,fit,got,when,there,puts
I,dad,,hat,nut,want,hen,,,
a,,,it,,fan,men,,,
,,,lit,,what,with,,,
,,,pan,,,,,,
,,,sit,,,,,,
,,,an,,,,,,